[2025-05-31 10:09:16,010] INFO - 🚀 Starting preprocessing...
[2025-05-31 10:09:18,858] ERROR - ❌ Failed to load dataset: [Errno 2] No such file or directory: 'spotify_millsongdata.csv'
[2025-05-31 10:10:15,160] INFO - 🚀 Starting preprocessing...
[2025-05-31 10:10:15,677] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-31 10:10:15,680] INFO - 🧹 Cleaning text...
[2025-05-31 10:13:14,405] INFO - 🚀 Starting preprocessing...
[2025-05-31 10:13:14,961] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-31 10:13:14,965] INFO - 🧹 Cleaning text...
[2025-05-31 10:18:35,959] INFO - 🚀 Starting preprocessing...
[2025-05-31 10:18:36,759] INFO - ✅ Dataset loaded and sampled: 10000 rows
[2025-05-31 10:18:36,760] INFO - 🧹 Cleaning text...
[2025-05-31 10:18:39,224] INFO - ✅ Text cleaned.
[2025-05-31 10:18:39,224] INFO - 🔠 Vectorizing using TF-IDF...
[2025-05-31 10:18:39,503] INFO - ✅ TF-IDF matrix shape: (10000, 5000)
[2025-05-31 10:18:39,503] INFO - 📐 Calculating cosine similarity...
[2025-05-31 10:18:40,956] INFO - ✅ Cosine similarity matrix generated.
[2025-05-31 10:18:41,157] INFO - 💾 Data saved to disk.
[2025-05-31 10:18:41,157] INFO - ✅ Preprocessing complete.
